,card name,
,,
,Standard Edition has 110 cards.,
,Deluxe Edition has 115 cards.,
,,
,Porcelain Throne card,
,,
Characters:,,
,Sanserif Snark,
,Ariel Snark,
,Josh Frost,
,Head Snark,
,Gluten Snark,
,,
,Toffy Bratsforëöns,
,Ceriously Bannister,
,Shamey Bannister,
,Typsion Bannister,
,Trywin Bannister,
,,
,Kelly C,
,Karl Go-Go,
,Rural Jurah,
,Lord Varies,
,Dragons,
,,
,Stink,
,Sulkwell Tubby,
,Lil Finger,
,Berry of Tart,
,Dave Onion,
,,
,Hurdur,deluxe edition
,Melodramadre,deluxe edition
,Night-Knight,deluxe edition
,Margarine,deluxe edition
,The Doge,deluxe edition
,,
Modifiers:,,
,had a hand hacked off,
,intruded on incest,
,paid a pretty price,
,meddled with the monarchy,
,was tormented for treachery,
,walked on the wall,
,was served crow by a sovereign,
,beheaded a betrayer,
,fathered a failure,
,learned a lamentable lineage,
,was impugned by an inferior,
,seduced by a sibling,
,soiled themself shamefully,
,was married to a monster,
,received a rude raven,
,was coerced to confess,
,flinched from a fair fight,
,was shamed by a septah,
,was pissed on by the patriarchy,
,bungled in battle,
,was vexed by visions,
,was manipulated by a mayster,
,knew nothing,
,was sentenced to a sky cell,
,committed a castration,
,was warned about winter,
,woke the dragon,
,was unnecessarily undressed,
,was farked by their faults,
,was injured by irony,
,upended an archetype,
,was slowed by the snow,
,was confused by chaos,
,choked on chickens,
,was nicked by a needle,
,wielded wildfire wickedly,
,gorged on guts,
,birthed a beast,
,tumbled from a tower,
,sang about spring,
,turned up at a tournament,
,gabbed gaily in a garden,
,rescued a runt,
,commanded a creature,
,consulted a council,
,was promised a prince,
,was reunited with a relative,
,"drank, knew things",
,found a fitting face,
,made pie of their prey,
,collected a coin,
,won a war,
,worked with the wild ones,
,was catastrophically crowned,
,immolated an innocent,
,was lied to by the luminous lord,
,,
Untimely Death cards:,,
,went to a wedding,
,flew out the floor,
,was devoured by dogs,
,was next on a list,
,was pierced by a porker,
,was killed for a coin,
,was crowned by the call,
,was finished by the faith,
,stabbed by a shadow,
,got greyscale,
,got their head on a pike,
,was shot on the shitter,
,was poisoned by a page,
,was decimated by a dragon,
,became an eggshell walker,
,didn't hold the door,
,sent regards to the queen,
,drank themself to death,
,was jabbed in the jugular,
,played the game; did not win,
,,
Event cards:,,
,The Seed Is Strong,
,Bend the Knee,
,Not Today,
,Bobby's Rebellion,
,On the Other Hand,
,Three Eyes,
,Bad News on Black Wings,
,It Is Known,
,The King's Caravan Cometh,
,A Man Pays His Debts,
,Maystery and Book-Larnin',
,,
2 Reference Cards,,
